,movies
0,Toy Story (1995)
1,Grumpier Old Men (1995)
2,Heat (1995)
3,Seven (a.k.a. Se7en) (1995)
4,"Usual Suspects, The (1995)"
5,From Dusk Till Dawn (1996)
6,Bottle Rocket (1996)
7,Braveheart (1995)
8,Rob Roy (1995)
9,Canadian Bacon (1995)
10,Desperado (1995)
11,Billy Madison (1995)
12,Clerks (1994)
13,Dumb & Dumber (Dumb and Dumber) (1994)
14,Ed Wood (1994)
15,Star Wars: Episode IV - A New Hope (1977)
16,Pulp Fiction (1994)
17,Stargate (1994)
18,Tommy Boy (1995)
19,Clear and Present Danger (1994)
20,Forrest Gump (1994)
21,"Jungle Book, The (1994)"
22,"Mask, The (1994)"
23,Blown Away (1994)
24,Dazed and Confused (1993)
25,"Fugitive, The (1993)"
26,Jurassic Park (1993)
27,Mrs. Doubtfire (1993)
28,Schindler's List (1993)
29,So I Married an Axe Murderer (1993)
30,"Three Musketeers, The (1993)"
31,Tombstone (1993)
32,Dances with Wolves (1990)
33,Batman (1989)
34,"Silence of the Lambs, The (1991)"
35,Pinocchio (1940)
36,Fargo (1996)
37,Mission: Impossible (1996)
38,James and the Giant Peach (1996)
39,Space Jam (1996)
40,"Rock, The (1996)"
41,Twister (1996)
42,Independence Day (a.k.a. ID4) (1996)
43,She's the One (1996)
44,"Wizard of Oz, The (1939)"
45,Citizen Kane (1941)
46,"Adventures of Robin Hood, The (1938)"
47,"Ghost and Mrs. Muir, The (1947)"
48,Mr. Smith Goes to Washington (1939)
49,Escape to Witch Mountain (1975)
50,Winnie the Pooh and the Blustery Day (1968)
51,"Three Caballeros, The (1945)"
52,"Sword in the Stone, The (1963)"
53,Dumbo (1941)
54,Pete's Dragon (1977)
55,Bedknobs and Broomsticks (1971)
56,Alice in Wonderland (1951)
57,That Thing You Do! (1996)
58,"Ghost and the Darkness, The (1996)"
59,Swingers (1996)
60,Willy Wonka & the Chocolate Factory (1971)
61,Monty Python's Life of Brian (1979)
62,Reservoir Dogs (1992)
63,Platoon (1986)
64,Basic Instinct (1992)
65,E.T. the Extra-Terrestrial (1982)
66,"Abyss, The (1989)"
67,Monty Python and the Holy Grail (1975)
68,Star Wars: Episode V - The Empire Strikes Back (1980)
69,"Princess Bride, The (1987)"
70,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
71,"Clockwork Orange, A (1971)"
72,Apocalypse Now (1979)
73,Star Wars: Episode VI - Return of the Jedi (1983)
74,Goodfellas (1990)
75,Alien (1979)
76,Psycho (1960)
77,"Blues Brothers, The (1980)"
78,Full Metal Jacket (1987)
79,Henry V (1989)
80,"Quiet Man, The (1952)"
81,"Terminator, The (1984)"
82,Duck Soup (1933)
83,"Shining, The (1980)"
84,Groundhog Day (1993)
85,Back to the Future (1985)
86,Highlander (1986)
87,Young Frankenstein (1974)
88,Fantasia (1940)
89,Indiana Jones and the Last Crusade (1989)
90,Pink Floyd: The Wall (1982)
91,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)"
92,Batman Returns (1992)
93,Sneakers (1992)
94,"Last of the Mohicans, The (1992)"
95,McHale's Navy (1997)
96,Best Men (1997)
97,Grosse Pointe Blank (1997)
98,Austin Powers: International Man of Mystery (1997)
99,Con Air (1997)
100,Face/Off (1997)
101,Men in Black (a.k.a. MIB) (1997)
102,Conan the Barbarian (1982)
103,L.A. Confidential (1997)
104,Kiss the Girls (1997)
105,"Game, The (1997)"
106,I Know What You Did Last Summer (1997)
107,Starship Troopers (1997)
108,"Big Lebowski, The (1998)"
109,"Wedding Singer, The (1998)"
110,Welcome to Woop-Woop (1997)
111,"Newton Boys, The (1998)"
112,Wild Things (1998)
113,Small Soldiers (1998)
114,All Quiet on the Western Front (1930)
115,Rocky (1976)
116,Labyrinth (1986)
117,Lethal Weapon (1987)
118,"Goonies, The (1985)"
119,Back to the Future Part III (1990)
120,Bambi (1942)
121,Saving Private Ryan (1998)
122,"Black Cauldron, The (1985)"
123,Flight of the Navigator (1986)
124,"Great Mouse Detective, The (1986)"
125,"Honey, I Shrunk the Kids (1989)"
126,"Negotiator, The (1998)"
127,"Jungle Book, The (1967)"
128,"Rescuers, The (1977)"
129,Return to Oz (1985)
130,"Rocketeer, The (1991)"
131,Sleeping Beauty (1959)
132,Song of the South (1946)
133,Tron (1982)
134,Indiana Jones and the Temple of Doom (1984)
135,"Lord of the Rings, The (1978)"
136,Charlotte's Web (1973)
137,"Secret of NIMH, The (1982)"
138,"American Tail, An (1986)"
139,Legend (1985)
140,"NeverEnding Story, The (1984)"
141,Beetlejuice (1988)
142,Willow (1988)
143,Toys (1992)
144,"Few Good Men, A (1992)"
145,Rush Hour (1998)
146,Edward Scissorhands (1990)
147,American History X (1998)
148,I Still Know What You Did Last Summer (1998)
149,Enemy of the State (1998)
150,King Kong (1933)
151,Very Bad Things (1998)
152,Psycho (1998)
153,Rushmore (1998)
154,Romancing the Stone (1984)
155,Young Sherlock Holmes (1985)
156,"Thin Red Line, The (1998)"
157,Howard the Duck (1986)
158,"Texas Chainsaw Massacre, The (1974)"
159,Crocodile Dundee (1986)
160,¡Three Amigos! (1986)
161,20 Dates (1998)
162,Office Space (1999)
163,Logan's Run (1976)
164,Planet of the Apes (1968)
165,"Lock, Stock & Two Smoking Barrels (1998)"
166,"Matrix, The (1999)"
167,Go (1999)
168,SLC Punk! (1998)
169,Dick Tracy (1990)
170,"Mummy, The (1999)"
